"","ChunkHash","Activation"
"514",2487,-8.01035958891978
"515",2517,-8.01035958891978
"516",2548,-8.01035958891978
"517",2560,-7.98514324602194
"518",2611,-7.98953447992453
"519",2613,-7.98953447992453
"520",2622,-8.01035958891978
"521",2623,-8.01035958891978
"522",2634,-7.98514324602194
"523",2649,-8.01035958891978
"524",2658,-8.01035958891978
"525",2661,-8.01035958891978
"526",2682,-8.01035958891978
"527",2683,-8.01035958891978
"528",2702,-8.01035958891978
"529",2730,-7.91246036561722
"530",2736,-8.01035958891978
"531",2767,-8.01035958891978
"532",2771,-8.01035958891978
"533",2784,-8.01035958891978
"534",2809,-7.99632153387423
"535",2825,-7.99632153387423
"536",2836,-8.01035958891978
"537",2846,-7.97627053979574
"538",2847,-7.97627053979574
"539",2899,-8.01035958891978
"540",2902,-8.01035958891978
"541",2949,-8.01035958891978
