"","user_screen_name","topHashtag","hashtagUsedP","d","NCell","DVName","maxNP","totN"
"54","twitter_ru",TRUE,FALSE,1.3,44,"topHashtagAct",FALSE,NA
"55","twitter_ru",FALSE,TRUE,1.3,5,"topHashtagAct",FALSE,53
"56","twitter_ru",TRUE,TRUE,1.3,9,"topHashtagAct",FALSE,53
"57","twitter_ru",FALSE,FALSE,1.4,628,"topHashtagAct",FALSE,NA
"58","twitter_ru",TRUE,FALSE,1.4,44,"topHashtagAct",FALSE,NA
"59","twitter_ru",FALSE,TRUE,1.4,5,"topHashtagAct",FALSE,53
"60","twitter_ru",TRUE,TRUE,1.4,9,"topHashtagAct",FALSE,53
"61","twitter_ru",FALSE,FALSE,1.5,628,"topHashtagAct",FALSE,NA
"62","twitter_ru",TRUE,FALSE,1.5,44,"topHashtagAct",FALSE,NA
"63","twitter_ru",FALSE,TRUE,1.5,5,"topHashtagAct",FALSE,53
"64","twitter_ru",TRUE,TRUE,1.5,9,"topHashtagAct",FALSE,53
"65","twitter_ru",FALSE,FALSE,1.6,628,"topHashtagAct",TRUE,NA
"66","twitter_ru",TRUE,FALSE,1.6,44,"topHashtagAct",FALSE,NA
"67","twitter_ru",FALSE,TRUE,1.6,5,"topHashtagAct",FALSE,53
"68","twitter_ru",TRUE,TRUE,1.6,9,"topHashtagAct",TRUE,53
"69","twitter_ru",FALSE,FALSE,1.8,628,"topHashtagAct",FALSE,NA
"70","twitter_ru",TRUE,FALSE,1.8,44,"topHashtagAct",FALSE,NA
"71","twitter_ru",FALSE,TRUE,1.8,5,"topHashtagAct",FALSE,53
"72","twitter_ru",TRUE,TRUE,1.8,9,"topHashtagAct",FALSE,53
"73","twitter_ru",FALSE,FALSE,2,628,"topHashtagAct",FALSE,NA
"74","twitter_ru",TRUE,FALSE,2,44,"topHashtagAct",FALSE,NA
"75","twitter_ru",FALSE,TRUE,2,5,"topHashtagAct",FALSE,53
"76","twitter_ru",TRUE,TRUE,2,9,"topHashtagAct",FALSE,53
"77","twitter_ru",FALSE,FALSE,5,628,"topHashtagAct",FALSE,NA
"78","twitter_ru",TRUE,FALSE,5,44,"topHashtagAct",FALSE,NA
"79","twitter_ru",FALSE,TRUE,5,5,"topHashtagAct",FALSE,53
"80","twitter_ru",TRUE,TRUE,5,9,"topHashtagAct",FALSE,53
"81","twitter_ru",FALSE,FALSE,10,628,"topHashtagAct",FALSE,NA
"82","twitter_ru",TRUE,FALSE,10,44,"topHashtagAct",FALSE,NA
"83","twitter_ru",FALSE,TRUE,10,5,"topHashtagAct",FALSE,53
"84","twitter_ru",TRUE,TRUE,10,9,"topHashtagAct",FALSE,53
"85","twitter_ru",FALSE,FALSE,20,627,"topHashtagAct",FALSE,NA
"86","twitter_ru",TRUE,FALSE,20,45,"topHashtagAct",FALSE,NA
"87","twitter_ru",FALSE,TRUE,20,6,"topHashtagAct",FALSE,53
"88","twitter_ru",TRUE,TRUE,20,8,"topHashtagAct",FALSE,53
"89","twitter_ru",TRUE,FALSE,0,41,"topHashtagPost",TRUE,NA
"90","twitter_ru",FALSE,FALSE,0,631,"topHashtagPost",FALSE,NA
"91","twitter_ru",FALSE,TRUE,0,9,"topHashtagPost",TRUE,53
"92","twitter_ru",TRUE,TRUE,0,5,"topHashtagPost",FALSE,53
"93","twitter_ru",TRUE,FALSE,0.1,41,"topHashtagPost",FALSE,NA
"94","twitter_ru",FALSE,FALSE,0.1,631,"topHashtagPost",FALSE,NA
"95","twitter_ru",FALSE,TRUE,0.1,9,"topHashtagPost",FALSE,53
"96","twitter_ru",TRUE,TRUE,0.1,5,"topHashtagPost",FALSE,53
"97","twitter_ru",TRUE,FALSE,0.2,40,"topHashtagPost",FALSE,NA
"98","twitter_ru",FALSE,FALSE,0.2,632,"topHashtagPost",FALSE,NA
"99","twitter_ru",FALSE,TRUE,0.2,8,"topHashtagPost",FALSE,53
"100","twitter_ru",TRUE,TRUE,0.2,6,"topHashtagPost",FALSE,53
"101","twitter_ru",TRUE,FALSE,0.3,39,"topHashtagPost",FALSE,NA
"102","twitter_ru",FALSE,FALSE,0.3,633,"topHashtagPost",FALSE,NA
"103","twitter_ru",FALSE,TRUE,0.3,7,"topHashtagPost",FALSE,53
"104","twitter_ru",TRUE,TRUE,0.3,7,"topHashtagPost",FALSE,53
"105","twitter_ru",TRUE,FALSE,0.4,38,"topHashtagPost",FALSE,NA
"106","twitter_ru",FALSE,FALSE,0.4,634,"topHashtagPost",FALSE,NA
"107","twitter_ru",FALSE,TRUE,0.4,6,"topHashtagPost",FALSE,53
"108","twitter_ru",TRUE,TRUE,0.4,8,"topHashtagPost",FALSE,53
"109","twitter_ru",TRUE,FALSE,0.5,37,"topHashtagPost",FALSE,NA
"110","twitter_ru",FALSE,FALSE,0.5,635,"topHashtagPost",FALSE,NA
"111","twitter_ru",FALSE,TRUE,0.5,5,"topHashtagPost",FALSE,53
"112","twitter_ru",TRUE,TRUE,0.5,9,"topHashtagPost",FALSE,53
"113","twitter_ru",TRUE,FALSE,0.6,37,"topHashtagPost",FALSE,NA
"114","twitter_ru",FALSE,FALSE,0.6,635,"topHashtagPost",FALSE,NA
"115","twitter_ru",FALSE,TRUE,0.6,5,"topHashtagPost",FALSE,53
"116","twitter_ru",TRUE,TRUE,0.6,9,"topHashtagPost",FALSE,53
"117","twitter_ru",TRUE,FALSE,0.7,37,"topHashtagPost",FALSE,NA
"118","twitter_ru",FALSE,FALSE,0.7,635,"topHashtagPost",FALSE,NA
"119","twitter_ru",FALSE,TRUE,0.7,5,"topHashtagPost",FALSE,53
"120","twitter_ru",TRUE,TRUE,0.7,9,"topHashtagPost",FALSE,53
"121","twitter_ru",TRUE,FALSE,0.8,37,"topHashtagPost",FALSE,NA
"122","twitter_ru",FALSE,FALSE,0.8,635,"topHashtagPost",FALSE,NA
"123","twitter_ru",FALSE,TRUE,0.8,5,"topHashtagPost",FALSE,53
"124","twitter_ru",TRUE,TRUE,0.8,9,"topHashtagPost",FALSE,53
"125","twitter_ru",TRUE,FALSE,0.9,37,"topHashtagPost",FALSE,NA
"126","twitter_ru",FALSE,FALSE,0.9,635,"topHashtagPost",FALSE,NA
"127","twitter_ru",FALSE,TRUE,0.9,5,"topHashtagPost",FALSE,53
"128","twitter_ru",TRUE,TRUE,0.9,9,"topHashtagPost",FALSE,53
"129","twitter_ru",TRUE,FALSE,1,37,"topHashtagPost",FALSE,NA
"130","twitter_ru",FALSE,FALSE,1,635,"topHashtagPost",FALSE,NA
"131","twitter_ru",FALSE,TRUE,1,5,"topHashtagPost",FALSE,53
"132","twitter_ru",TRUE,TRUE,1,9,"topHashtagPost",FALSE,53
"133","twitter_ru",TRUE,FALSE,1.1,37,"topHashtagPost",FALSE,NA
"134","twitter_ru",FALSE,FALSE,1.1,635,"topHashtagPost",TRUE,NA
"135","twitter_ru",FALSE,TRUE,1.1,5,"topHashtagPost",FALSE,53
"136","twitter_ru",TRUE,TRUE,1.1,9,"topHashtagPost",TRUE,53
"137","twitter_ru",TRUE,FALSE,1.2,37,"topHashtagPost",FALSE,NA
"138","twitter_ru",FALSE,FALSE,1.2,635,"topHashtagPost",FALSE,NA
"139","twitter_ru",FALSE,TRUE,1.2,5,"topHashtagPost",FALSE,53
"140","twitter_ru",TRUE,TRUE,1.2,9,"topHashtagPost",FALSE,53
"141","twitter_ru",TRUE,FALSE,1.3,37,"topHashtagPost",FALSE,NA
"142","twitter_ru",FALSE,FALSE,1.3,635,"topHashtagPost",FALSE,NA
"143","twitter_ru",FALSE,TRUE,1.3,5,"topHashtagPost",FALSE,53
"144","twitter_ru",TRUE,TRUE,1.3,9,"topHashtagPost",FALSE,53
"145","twitter_ru",TRUE,FALSE,1.4,37,"topHashtagPost",FALSE,NA
"146","twitter_ru",FALSE,FALSE,1.4,635,"topHashtagPost",FALSE,NA
"147","twitter_ru",FALSE,TRUE,1.4,5,"topHashtagPost",FALSE,53
"148","twitter_ru",TRUE,TRUE,1.4,9,"topHashtagPost",FALSE,53
"149","twitter_ru",TRUE,FALSE,1.5,37,"topHashtagPost",FALSE,NA
"150","twitter_ru",FALSE,FALSE,1.5,635,"topHashtagPost",FALSE,NA
"151","twitter_ru",FALSE,TRUE,1.5,5,"topHashtagPost",FALSE,53
